CollectedAt,RunDate,TileKey,Customer,Project,GridNumber,IsRetrim,Excluded,ExcludedNote,MosaicBuildId,GdalBuildId,MosaicResult,GdalResult,Failed,MosaicHrs,GdalHrs,TotalHrs,ImageCount,AoiSqMiles,CollectionSqMiles,CollectionLinearMiles,FlightDirection,GsdCm,ComputeCost,LicenseCost,CostPerImage,CostPerAoiSqMi,CostPerCollSqMi,CostPerLinearMi
2026-07-29T18:31:45Z,2026-07-23T12:02:32.7458485Z,cpd26-43-b4,Conoco,copecode26,cpd26-43-b4,False,False,,14682,14690,succeeded,succeeded,False,9.049,0.2145,9.2635,185,8.148,12.6,32.996,90.0,10.83,7.56,4.52,0.0409,0.9278,0.6,0.2291
2026-07-29T18:31:45Z,2026-07-29T15:26:04.4890774Z,cpd26-43-b5,Conoco,copecode26,cpd26-43-b5,False,False,,14705,,,,,,,0,286,16.166,,,,,0.0,0.0,0.0,0.0,,
2026-07-29T18:31:50Z,2026-07-23T18:05:20.1846915Z,cpd26-43-c1,Conoco,copecode26,cpd26-43-c1,False,False,,14685,14695,succeeded,succeeded,False,14.6687,0.3646,15.0333,275,15.714,20.905,41.717,89.5,10.74,12.27,7.33,0.0446,0.7808,0.5869,0.2941
2026-07-29T18:31:56Z,2026-07-23T19:46:59.2097313Z,cpd26-43-c2,Conoco,copecode26,cpd26-43-c2,False,False,,14684,14697,succeeded,succeeded,False,16.3654,0.3678,16.7332,293,16.625,19.703,42.789,90.1,10.66,13.65,8.18,0.0466,0.8211,0.6928,0.319
2026-07-29T18:32:01Z,2026-07-23T18:52:40.2858685Z,cpd26-43-c3,Conoco,copecode26,cpd26-43-c3,False,False,,14686,14696,succeeded,succeeded,False,15.4572,0.3706,15.8278,282,15.968,21.958,44.763,90.3,10.71,12.92,7.73,0.0458,0.8091,0.5884,0.2886
2026-07-29T18:32:05Z,2026-07-23T19:49:23.8265698Z,cpd26-43-c4,Conoco,copecode26,cpd26-43-c4,False,False,,14687,14698,succeeded,succeeded,False,16.4024,0.3203,16.7227,275,15.894,17.55,39.985,90.2,10.76,13.65,8.2,0.0496,0.8588,0.7778,0.3414
2026-07-29T18:32:09Z,2026-07-23T11:18:25.2843744Z,cpd26-43-d1,Conoco,copecode26,cpd26-43-d1,False,False,,14688,14689,succeeded,succeeded,False,7.7876,0.1889,7.9765,153,7.632,12.742,23.145,90.7,10.67,6.51,3.89,0.0425,0.853,0.5109,0.2813
2026-07-29T18:32:13Z,2026-07-24T04:52:30.5377536Z,cpd26-43-d2,Conoco,copecode26,cpd26-43-d2,False,False,,14692,14702,succeeded,succeeded,False,15.0229,0.3584,15.3813,282,15.975,19.487,41.453,90.9,10.55,12.55,7.51,0.0445,0.7856,0.644,0.3028
2026-07-29T18:32:17Z,2026-07-25T02:03:30.7604145Z,cpd26-43-d3,Conoco,copecode26,cpd26-43-d3,False,False,,14703,14704,succeeded,succeeded,False,18.0151,0.4501,18.4652,353,21.167,26.944,53.449,90.8,10.53,15.07,9.01,0.0427,0.712,0.5593,0.282
2026-07-29T18:32:21Z,2026-07-24T04:18:33.4534095Z,cpd26-43-d4,Conoco,copecode26,cpd26-43-d4,False,False,,14691,14701,succeeded,succeeded,False,14.4595,0.317,14.7765,284,15.894,16.935,44.244,90.8,10.57,12.06,7.23,0.0425,0.7588,0.7121,0.2726
2026-07-29T18:32:23Z,2026-07-23T14:13:39.35297Z,cpd26-43-e4,Conoco,copecode26,cpd26-43-e4,False,False,,14683,14694,succeeded,succeeded,False,10.8136,0.2419,11.0555,206,10.514,14.502,33.548,90.7,10.59,9.02,5.41,0.0438,0.8579,0.622,0.2689
2026-07-29T18:32:30Z,2026-07-24T00:01:20.254254Z,cpd26-52-a,Conoco,copecode26,cpd26-52-a,False,False,,14680,14699,succeeded,succeeded,False,21.5861,0.4645,22.0506,278,16.929,28.719,41.97,139.0,10.77,17.99,10.79,0.0647,1.0627,0.6264,0.4286
2026-07-29T18:32:34Z,2026-07-24T03:57:31.0322966Z,cpd26-52-b,Conoco,copecode26,cpd26-52-b,False,False,,14681,14700,succeeded,succeeded,False,25.5222,2.618,28.1402,326,19.16,34.02,47.984,138.7,10.79,22.96,12.76,0.0704,1.1983,0.6749,0.4785
