CollectedAt,RunDate,TileKey,Customer,Project,GridNumber,IsRetrim,Excluded,ExcludedNote,MosaicBuildId,GdalBuildId,MosaicResult,GdalResult,Failed,MosaicHrs,GdalHrs,TotalHrs,ImageCount,AoiSqMiles,CollectionSqMiles,CollectionLinearMiles,FlightDirection,GsdCm,ComputeCost,LicenseCost,CostPerImage,CostPerAoiSqMi,CostPerCollSqMi,CostPerLinearMi
2026-06-23T19:18:35Z,2026-06-10T15:43:56.9237856Z,cpd26-35-a1,Conoco,copecode26,cpd26-35-a1,False,False,,14596,14607,succeeded,succeeded,False,9.625,0.1845,9.8095,155,7.921,11.124,26.242,106.8,10.65,8.0,4.81,0.0516,1.01,0.7192,0.3049
2026-06-23T19:18:38Z,2026-06-10T18:14:07.9944139Z,cpd26-35-b1,Conoco,copecode26,cpd26-35-b1,False,False,,14597,14608,succeeded,succeeded,False,11.6794,0.1976,11.877,178,9.08,12.687,29.061,106.4,10.7,9.69,5.84,0.0544,1.0672,0.7638,0.3334
2026-06-23T19:18:42Z,2026-06-11T02:20:15.6710132Z,cpd26-35-b2,Conoco,copecode26,cpd26-35-b2,False,False,,14598,14612,succeeded,succeeded,False,19.3257,0.35,19.6757,288,16.73,21.514,43.797,106.2,10.69,16.06,9.66,0.0558,0.96,0.7465,0.3667
2026-06-23T19:18:44Z,2026-06-10T18:17:19.8946904Z,cpd26-35-c1,Conoco,copecode26,cpd26-35-c1,False,False,,14599,14609,succeeded,succeeded,False,11.1574,0.2562,11.4136,167,9.285,16.073,27.044,106.4,10.7,9.31,5.58,0.0557,1.0027,0.5792,0.3443
2026-06-23T19:18:50Z,2026-06-11T11:13:19.4492302Z,cpd26-36,Conoco,copecode26,cpd26-36,False,False,,14594,14616,succeeded,succeeded,False,29.9283,5.5616,35.4899,453,27.816,43.56,66.562,106.1,10.75,28.96,14.96,0.0639,1.0411,0.6648,0.4351
2026-06-23T19:18:55Z,2026-06-11T03:04:15.3359153Z,cpd26-37-a2,Conoco,copecode26,cpd26-37-a2,False,False,,14601,14613,succeeded,succeeded,False,16.0912,0.3148,16.406,256,13.044,21.592,38.296,18.3,10.22,13.39,8.05,0.0523,1.0265,0.6201,0.3496
2026-06-23T19:18:59Z,2026-06-11T08:38:46.6360187Z,cpd26-37-b2,Conoco,copecode26,cpd26-37-b2,False,False,,14602,14615,succeeded,succeeded,False,21.1275,0.423,21.5505,333,20.011,26.288,51.911,16.7,10.32,17.59,10.56,0.0528,0.879,0.6691,0.3388
2026-06-23T19:19:03Z,2026-06-11T13:52:34.3477921Z,cpd26-37-b3,Conoco,copecode26,cpd26-37-b3,False,False,,14603,14618,succeeded,succeeded,False,25.7448,0.5001,26.2449,382,22.794,28.804,57.792,17.1,10.35,21.42,12.87,0.0561,0.9397,0.7436,0.3706
2026-06-23T19:19:06Z,2026-06-10T22:24:12.4618541Z,cpd26-37-c2,Conoco,copecode26,cpd26-37-c2,False,False,,14604,14610,succeeded,succeeded,False,10.1704,0.2037,10.3741,164,7.237,15.275,26.085,165.5,10.38,8.47,5.09,0.0516,1.1704,0.5545,0.3247
2026-06-23T19:19:09Z,2026-06-11T03:14:45.5034573Z,cpd26-37-c3,Conoco,copecode26,cpd26-37-c3,False,False,,14605,14614,succeeded,succeeded,False,14.5187,0.3061,14.8248,245,13.337,19.107,39.209,165.1,10.48,12.1,7.26,0.0494,0.9073,0.6333,0.3086
2026-06-23T19:19:13Z,2026-06-11T01:14:36.9335972Z,cpd26-37-d3,Conoco,copecode26,cpd26-37-d3,False,False,,14606,14611,succeeded,succeeded,False,12.3284,0.2674,12.5958,201,10.609,18.663,31.146,165.9,10.79,10.28,6.16,0.0511,0.969,0.5508,0.3301
2026-06-23T19:19:14Z,2026-06-10T09:45:31.6384835Z,cpd26-46,Conoco,copecode26,cpd26-46,False,False,,14593,14600,succeeded,succeeded,False,5.1483,0.1141,5.2624,97,3.876,7.753,14.048,166.4,10.42,4.29,2.57,0.0442,1.1068,0.5533,0.3054
2026-06-23T19:19:19Z,2026-06-11T11:40:19.7140546Z,cpd26-50,Conoco,copecode26,cpd26-50,False,False,,14595,14617,succeeded,succeeded,False,29.7001,1.1767,30.8768,425,23.223,48.14,68.604,163.7,10.79,25.2,14.85,0.0593,1.0851,0.5235,0.3673
