TileKey,ImageCount,MosaicHrs,Rate_img_per_hr
cpd26-36,453,29.93,15.14
cpd26-22-d6,430,23.92,17.98
cpd26-50,425,29.7,14.31
cpd26-37-b3,382,25.74,14.84
cpd26-37-b2,333,21.13,15.76
cpd26-22-d3,332,19.66,16.89
cpd26-22-e4,329,17.11,19.23
cpd26-22-i5,312,18.62,16.76
cpd26-22-h5,311,16.99,18.30
cpd26-22-f4,308,16.8,18.33
cpd26-22-e3,307,16.49,18.62
cpd26-22-f5,305,17.2,17.73
cpd26-30a,304,18.36,16.56
cpd26-22-i4,301,18.36,16.39
cpd26-22-e5,300,15.69,19.12
cpd26-22-h4,297,15.78,18.82
cpd26-35-b2,288,19.33,14.90
cpd26-28-e1,284,13.85,20.51
cpd26-add-07,284,14.84,19.14
cpd26-22-g4,269,12.28,21.90
cpd26-22-g5,268,13.46,19.91
cpd26-22-f3,266,13.62,19.53
cpd26-22-g3,264,14.99,17.61
cpd26-37-a2,256,16.09,15.91
cpd26-37-c3,245,14.52,16.87
cpd26-22-h3,232,10.36,22.39
cpd26-37-d3,201,12.33,16.30
cpd26-35-b1,178,11.68,15.24
cpd26-35-c1,167,11.16,14.96
cpd26-37-c2,164,10.17,16.13
cpd26-28-e2,156,8.5,18.35
cpd26-35-a1,155,9.63,16.09
cpd26-46,97,5.15,18.83
